
rand
Overlap3908,Degree,PageRank,k-core
90%,0.20176749582011128,0.16539393319002285,0.189637288019927
80%,0.20754597877640152,0.1752277612856997,0.19003309789470094
70%,0.2128262872351316,0.18402258846009484,0.18536356501859627
60%,0.21803323438086467,0.19377111270344968,0.1809158221585287
50%,0.22255092639983617,0.2026341829597025,0.17484730610434368
40%,0.22639983621660356,0.21214897464769505,0.17128501723137818
30%,0.2305438973624049,0.2209779233630191,0.167755143822295
20%,0.23102330501245436,0.22885317500938349,0.1624611867471935
10%,0.21583410106800419,0.2266932814685911,0.1563892585389156

rand
Overlap39077,Degree,PageRank,k-core
100%,0.2368912659620748,0.19602323617473189,0.23167080379763044
90%,0.23220393923109078,0.1959430526055395,0.23588044118023394
80%,0.23179449121819315,0.1946277008641059,0.21320043333248032
70%,0.22548984483626347,0.1914962765821327,0.22544292891811893
60%,0.21676177802799607,0.18593034265680583,0.19136405899463454
50%,0.20324999360237478,0.17696599022442872,0.1966024345096433
40%,0.1852385461183475,0.16167907805955767,0.1641784169716201
30%,0.15829174876952343,0.13549999573491656,0.14030759781968932
20%,0.11218107838370397,0.09648301217254823,0.09360322781516833
10%,0.05829857290307172,0.0483293668057084,0.057749230152434085

bfs
Overlap39077,Degree,PageRank,k-core
100%,0.2368912659620748,0.19602323617473189,0.23167080379763044
90%,0.24146514147281858,0.2047163292985644,0.21089302317646355
80%,0.24591191749622537,0.21292576195716148,0.2061246598595935
70%,0.25000469159181443,0.22039051104230112,0.20974656874035025
60%,0.2542970715936911,0.2277819006917965,0.21404321382569455
50%,0.2569977224454283,0.23446955156912422,0.21370883128182816
40%,0.2598118245174058,0.2410812839607271,0.20907609761923046
30%,0.2609429246530355,0.2477578456210388,0.20454487294316342
20%,0.25287679879895253,0.24430142197882806,0.2004973087323319
10%,0.19196031766341662,0.1843172880893279,0.16704881814537115

dfs
Overlap39077,Degree,PageRank,k-core
100%,0.2368912659620748,0.19602323617473189,0.23167080379763044
90%,0.24130989243459494,0.2027040629185113,0.21214439866588194
80%,0.24419991299229726,0.20865044228915558,0.2122689391031382
70%,0.2460356049167882,0.21406112717625883,0.2217399834514761
60%,0.2448439405959175,0.21879963490885515,0.2213254173384174
50%,0.24436028013068212,0.22264674019670558,0.21984116829166347
40%,0.24196500925523112,0.22359273570983787,0.21287287492216217
30%,0.23435354129880323,0.22160947189736505,0.1972575513302795
20%,0.21699891666879922,0.20948725166551513,0.1817667681756532
10%,0.1783188747003779,0.17358377903455574,0.1560321075483447

sec
Overlap39077,Degree,PageRank,k-core
100%,0.2368912659620748,0.19602323617473189,0.23167080379763044
90%,0.24158797587668782,0.20475898013324118,0.21073948017162697
80%,0.24575922750808235,0.21275430560176065,0.20622360979604376
70%,0.2499168308723802,0.22048007779512246,0.20946848529825732
60%,0.25434142846175495,0.22773413175695847,0.21438100843633512
50%,0.2571452943334101,0.23446102140218883,0.21374807004973084
40%,0.25984082708498607,0.24099171720790577,0.20913495577108446
30%,0.2609668091204545,0.24761965691668583,0.20476068616662818
20%,0.26024686303110955,0.2546638687719118,0.2035587856454351
10%,0.23410616645767757,0.2395492659791352,0.1869531096723563
