
rand
Overlap100,Degree,PageRank,k-core
60%,0.060733333333333375,0.06120000000000004,0.24800000000000005
50%,0.04713333333333335,0.04773333333333336,0.04993333333333334
40%,0.044600000000000015,0.04253333333333335,0.027466666666666674
30%,0.03886666666666668,0.03726666666666668,0.02040000000000001
20%,0.031000000000000014,0.030200000000000015,0.01573333333333334
10%,0.01953333333333334,0.01973333333333334,0.009266666666666668


rand
Overlap1000,Degree,PageRank,k-core
100%,0.316,0.10599999999999997,0.6
90%,0.3143333333333333,0.0994,0.5917333333333333
80%,0.3143666666666667,0.09570000000000004,0.5700666666666668
70%,0.31096666666666667,0.0938666666666667,0.5434666666666667
60%,0.3031666666666667,0.08706666666666667,0.49283333333333335
50%,0.29213333333333336,0.08050000000000002,0.42363333333333325
40%,0.25046666666666667,0.07026666666666666,0.3431666666666666
30%,0.20869999999999997,0.05986666666666666,0.2614333333333333
20%,0.14589999999999997,0.04586666666666668,0.1708333333333333
10%,0.0719,0.03220000000000002,0.08370000000000001

bfs
Overlap1000,Degree,PageRank,k-core
100%,0.316,0.10599999999999997,0.6
90%,0.2517333333333333,0.10633333333333335,0.6386333333333332
80%,0.23093333333333335,0.10950000000000001,0.6882666666666667
70%,0.1941,0.11050000000000003,0.6791
60%,0.10276666666666669,0.09840000000000002,0.18573333333333333
50%,0.08606666666666667,0.08360000000000002,0.06539999999999997
40%,0.07876666666666668,0.07649999999999998,0.04413333333333332
30%,0.06923333333333331,0.06683333333333333,0.02913333333333334
20%,0.05213333333333334,0.05046666666666666,0.016433333333333338
10%,0.03533333333333335,0.034666666666666686,0.02183333333333334

dfs
Overlap1000,Degree,PageRank,k-core
100%,0.316,0.10599999999999997,0.6
90%,0.2761666666666667,0.10513333333333337,0.6049333333333332
80%,0.24946666666666664,0.10663333333333336,0.6031666666666665
70%,0.21953333333333339,0.10636666666666669,0.5439666666666667
60%,0.18919999999999998,0.10576666666666669,0.43073333333333336
50%,0.14379999999999998,0.10053333333333334,0.28013333333333335
40%,0.09323333333333333,0.09143333333333335,0.0959666666666667
30%,0.07546666666666664,0.07450000000000001,0.017033333333333338
20%,0.05276666666666668,0.05073333333333334,0.013900000000000006
10%,0.03376666666666669,0.03550000000000002,0.01006666666666667

sec
Overlap1000,Degree,PageRank,k-core
100%,0.316,0.10599999999999997,0.6
90%,0.2540666666666667,0.1071666666666667,0.6397666666666668
80%,0.22906666666666672,0.10933333333333337,0.6839333333333333
70%,0.19556666666666667,0.11040000000000003,0.6800333333333334
60%,0.10353333333333338,0.09893333333333335,0.21990000000000004
50%,0.08553333333333332,0.08303333333333332,0.045233333333333334
40%,0.07793333333333334,0.07583333333333332,0.04293333333333333
30%,0.06663333333333334,0.06406666666666666,0.027366666666666675
20%,0.05036666666666667,0.049066666666666675,0.01923333333333334
10%,0.029266666666666677,0.029833333333333347,0.013200000000000007


rand
Overlap2000,Degree,PageRank,k-core
100%,0.4045,0.18499999999999991,0.5664999999999998
90%,0.3896833333333333,0.17541666666666664,0.5211000000000001
80%,0.3712,0.16405,0.47836666666666666
70%,0.3438166666666666,0.1491666666666667,0.4367333333333334
60%,0.31636666666666663,0.13681666666666667,0.3865
50%,0.28336666666666677,0.12121666666666668,0.32791666666666663
40%,0.23561666666666672,0.10523333333333335,0.2608666666666667
30%,0.19323333333333334,0.09033333333333333,0.20365
20%,0.1290166666666667,0.06453333333333332,0.13065
10%,0.06400000000000002,0.03886666666666667,0.06436666666666666

bfs
Overlap2000,Degree,PageRank,k-core
100%,0.4045,0.18499999999999991,0.5664999999999998
90%,0.3620833333333333,0.18969999999999995,0.5631666666666667
80%,0.3047833333333333,0.19406666666666658,0.5739333333333333
70%,0.2529166666666668,0.1878333333333333,0.5094666666666666
60%,0.16833333333333336,0.15955,0.1757
50%,0.15205000000000002,0.1447,0.07221666666666667
40%,0.1339833333333333,0.13088333333333335,0.06238333333333335
30%,0.11358333333333336,0.11071666666666671,0.03793333333333333
20%,0.0859,0.08441666666666667,0.024433333333333338
10%,0.05846666666666665,0.05711666666666666,0.0281

dfs
Overlap2000,Degree,PageRank,k-core
100%,0.4045,0.18499999999999991,0.5664999999999998
90%,0.37518333333333326,0.18721666666666664,0.5225166666666666
80%,0.3336833333333333,0.1894333333333334,0.46995
70%,0.28691666666666665,0.18705000000000008,0.3983333333333334
60%,0.24069999999999994,0.18261666666666665,0.29999999999999993
50%,0.19759999999999997,0.17001666666666665,0.18421666666666667
40%,0.15729999999999997,0.1522,0.09963333333333332
30%,0.12871666666666665,0.12583333333333335,0.02356666666666667
20%,0.09473333333333332,0.09256666666666667,0.022483333333333334
10%,0.05693333333333335,0.05925000000000001,0.01428333333333334

sec
Overlap2000,Degree,PageRank,k-core
100%,0.4045,0.18499999999999991,0.5664999999999998
90%,0.36235000000000006,0.1899666666666667,0.5637333333333333
80%,0.2979833333333333,0.19391666666666663,0.5675333333333333
70%,0.25391666666666673,0.1882333333333334,0.511
60%,0.16998333333333335,0.16056666666666664,0.20181666666666662
50%,0.15136666666666668,0.1440333333333333,0.058350000000000006
40%,0.1327333333333333,0.12943333333333337,0.06356666666666669
30%,0.10981666666666669,0.10608333333333335,0.03541666666666667
20%,0.08423333333333333,0.08278333333333336,0.02556666666666667
10%,0.04765,0.04963333333333333,0.020133333333333333

